year,men_median,men_average,women_median,women_average,white_men_median,white_men_average,black_men_median,black_men_average,hispanic_men_median,hispanic_men_average,white_women_median,white_women_average,black_women_median,black_women_average,hispanic_women_median,hispanic_women_average
2022,24.91,35.82,20.74,27.86,27.11,39.1,20.02,27.43,19.99,26.63,22.47,29.5,19,23.99,17.54,22.6
2021,24.93,35.61,21.46,28.28,27.76,38.78,20.08,26.88,20.2,26.45,22.76,29.9,18.85,24.13,17.77,22.9
2020,25.95,36.03,21.72,28.75,28.36,39.08,20.56,27.4,20.41,27.05,23.05,30.3,19.26,24.87,17.55,23.03
2019,24.04,33.65,20.42,26.83,27.39,36.84,19.31,25.18,19.39,25.08,22.01,28.41,18.08,23.17,17.08,21.5
2018,23.42,33.19,19.73,26.21,26.79,36.55,18.66,24.67,18.77,24.55,21.75,28.01,17.34,22.55,16.24,20.6
2017,23.78,32.27,19.69,25.91,26.36,35.3,18.15,24.27,18.45,24.05,21.48,27.71,17.22,21.81,15.75,20.54
2016,23.44,32.18,19.44,25.58,26.34,35.12,18.42,24.53,18.3,23.9,21.14,27.22,17.13,21.86,15.72,20.18
2015,23.19,31.52,19.07,25.11,25.73,34.57,18.4,24,17.78,22.97,20.77,26.66,16.64,21.65,14.93,19.74
2014,22.43,30.08,18.63,24.45,24.89,32.89,18,23.02,17.26,21.96,20.12,25.87,16.32,21.46,14.83,19.17
2013,22.63,30.49,18.87,24.38,25.19,33.42,18.73,23.45,16.45,21.82,20.24,25.79,16.89,21.42,15.01,19.05
2012,22.87,30.45,19.01,24.16,25.46,33.34,18.02,23.57,16.64,21.58,20.28,25.58,16.52,21.29,14.79,18.95
2011,22.76,29.99,19.34,24.34,25.24,32.73,18.35,23.26,16.44,21.42,20.34,25.64,16.98,21.55,15.11,19.18
2010,23.34,30.85,19.47,24.68,26.08,33.69,18.99,23.72,16.93,22.39,20.32,25.92,17.45,21.9,14.95,19.38
2009,23.9,31.15,19.57,24.52,26.49,33.96,19.64,23.99,17.61,22.59,20.56,25.67,17.54,21.68,15.22,19.55
2008,23.25,30.22,19.12,23.98,26.09,32.87,18.95,23.16,17.18,22.01,20.34,25.13,16.65,21.16,15.11,19.09
2007,23.27,30.06,18.95,23.9,25.85,32.78,18.72,23.22,17.08,21.77,20.33,25.03,17.06,21.33,14.9,19.13
2006,23.16,29.65,18.88,23.7,25.55,32.24,18.97,23.53,17.35,21.23,20.23,24.76,17.4,21.27,14.63,18.64
2005,22.86,29.57,18.75,23.57,25.59,32.18,18.64,22.99,16.59,21.11,20.04,24.71,16.64,20.9,14.96,18.43
2004,23.39,29.95,18.87,23.56,26.21,32.52,19.42,23.78,16.83,21.21,20.14,24.59,17.65,21.16,15.38,18.81
2003,23.81,29.85,19.13,23.65,26.08,32.42,19.25,23.46,16.77,21.32,20.07,24.7,17.53,21.43,15.2,18.6
2002,23.72,29.89,18.94,23.44,26.05,32.41,19.49,23.16,16.48,21.17,19.82,24.56,17.07,20.97,14.77,18.27
2001,23.39,29.42,18.39,22.95,25.82,31.86,19,22.92,16.58,20.65,19.72,24,16.63,20.48,14.85,18.13
2000,23.24,29.01,18.02,22.39,25.56,31.34,18.77,22.97,16.34,20.46,18.87,23.3,16.92,20.24,14.17,17.69
1999,22.96,28.69,17.75,22.09,25.39,30.77,18.88,22.65,16.22,20.59,18.7,23.01,16.04,19.78,14.11,17.47
1998,22.45,27.89,17.83,21.71,24.79,29.98,18.07,22,16.11,20.1,18.16,22.56,16.13,19.52,14.15,17.31
1997,21.87,27.02,17.12,21.02,23.81,29.02,17.33,21.07,15.31,19.27,18.06,21.87,15.33,18.62,13.35,16.73
1996,21.51,26.53,16.8,20.65,23.36,28.42,16.9,20.4,14.97,18.93,17.59,21.43,15.03,18.33,13.42,16.72
1995,21.64,26.61,16.8,20.54,23.16,28.41,17.2,20.87,15.12,19.01,17.36,21.2,15.21,18.76,13.4,16.53
1994,21.53,26.6,16.83,20.76,23.43,28.29,17.19,21.26,15.34,19.34,17.53,21.38,15.18,18.81,13.65,17.19
1993,21.81,26.22,16.96,20.35,23.79,27.87,17.27,20.68,15.41,19.18,17.58,20.9,15.51,18.66,13.92,17.02
1992,21.76,26.2,16.67,20.11,23.64,27.85,17.19,20.46,15.55,19.22,17.36,20.61,15.34,18.44,14.1,16.93
1991,21.75,26.35,16.7,19.86,23.73,28.02,17.25,20.57,15.62,19.13,17.04,20.35,15.27,18.19,13.71,16.65
1990,21.93,26.41,16.45,19.54,23.96,28.04,17.5,20.55,15.52,19.49,17.13,20.05,15.16,17.77,13.63,16.38
1989,22.8,26.66,16.49,19.4,24.09,28.16,17.52,20.66,16.44,20.04,17.01,19.81,15.13,17.94,13.8,16.54
1988,23.61,27.82,16.59,19.38,24.1,29.34,18.18,21.97,16.86,20.49,16.92,19.77,14.98,18.02,14.08,16.51
1987,23.55,27.65,16.25,19.13,24.72,29.11,18.32,21.57,17.31,20.61,16.81,19.49,14.98,17.77,14.12,16.66
1986,23.47,27.56,16.05,18.9,25.36,28.94,18.24,21.41,17.67,20.93,16.36,19.21,15.04,17.57,13.8,16.56
1985,23.23,26.88,15.77,18.42,24.79,28.18,17.9,20.86,17.15,20.63,16.02,18.7,14.62,17.31,13.64,16.23
1984,23.12,26.63,15.66,18.13,24.17,27.72,18.21,21.16,17.33,20.7,15.95,18.4,14.2,16.93,13.58,15.91
1983,22.96,26.63,15.4,17.97,24.41,27.67,17.98,21.26,17.26,20.69,15.67,18.19,14.23,16.95,13.76,15.96
1982,23.39,26.6,15.12,17.85,24.6,27.65,18.24,20.97,17.76,20.71,15.44,18.06,14.44,16.8,13.94,16.02
1981,23.38,26.38,15.29,17.55,24.6,27.37,18.9,21.31,17.85,20.78,15.41,17.73,14.36,16.78,13.55,15.68
1980,23.88,26.54,15.21,17.54,25.08,27.51,18.7,21.4,18.03,21.05,15.41,17.71,14.12,16.85,13.64,15.83
1979,24.11,27.08,15.28,17.73,25.51,28.03,19.15,22,18.83,21.56,15.47,17.91,14.46,16.95,13.53,15.82
1978,24.27,26.86,15.17,17.5,25.08,27.81,19.74,21.38,18.34,21.01,15.4,17.68,14,16.76,13.74,15.29
